,microhabitat,feeding_guild,secondary_guilds,moisture_pref,size_class,phylum,class,order,family,genus,species
f__Zerconidae,he,c,,m,micro,Arthropoda,Arachnida,Mesostigmata,Zerconidae,Parazercon,NA
g__Pergamasus,he,c,,m,micro,Arthropoda,Arachnida,Mesostigmata,Parasitidae,Pergamasus,NA
g__Poecilochirus,ep,c,,m,meso,Arthropoda,Arachnida,Mesostigmata,Parasitidae,Poecilochirus,NA
f__Halacaridae,aq,c,,h,micro,Arthropoda,Arachnida,Trombidiformes,Halacaridae,Simognathus,NA
g__Trachytes,he,c,,m,micro,Arthropoda,Arachnida,Mesostigmata,Polyaspididae,Trachytes,Trachytes aegrota
s__Trachytes baloghi,he,c,,m,meso,Arthropoda,Arachnida,Mesostigmata,Polyaspididae,Trachytes,Trachytes baloghi
g__Tripyla,he,c,,h,micro,Nematoda,NA,Triplonchida,Tripylidae,Tripyla,NA
g__Veigaia,he,c,,m,meso,Arthropoda,Arachnida,Mesostigmata,Veigaiidae,Veigaia,NA
s__Weberacantha beckeri,ep,c,,m,micro,Arthropoda,Collembola,Entomobryomorpha,Isotomidae,Weberacantha,Weberacantha beckeri
g__Achaeta,eu,d,,h,meso,Annelida,Clitellata,Enchytraeida,Enchytraeidae,Achaeta,Achaeta bibulba
f__Euphthiracaridae,eu,d,,h,micro,Arthropoda,Arachnida,Sarcoptiformes,Euphthiracaridae,Acrotritia,Rhysotritia duplicata
s__Buchholzia appendiculata,he,d,,m,meso,Annelida,Clitellata,Enchytraeida,Enchytraeidae,Buchholzia,Buchholzia appendiculata
g__Cernosvitoviella,eu,d,,h,meso,Annelida,Clitellata,Enchytraeida,Enchytraeidae,Cernosvitoviella,NA
s__Cernosvitoviella aggtelekiensis,eu,d,,h,meso,Annelida,Clitellata,Enchytraeida,Enchytraeidae,Cernosvitoviella,Cernosvitoviella aggtelekiensis
s__Cernosvitoviella atrata,eu,d,,h,meso,Annelida,Clitellata,Enchytraeida,Enchytraeidae,Cernosvitoviella,Cernosvitoviella atrata
s__Cernosvitoviella minor,eu,d,,h,meso,Annelida,Clitellata,Enchytraeida,Enchytraeidae,Cernosvitoviella,Cernosvitoviella minor
f__Oppiidae,eu,d,,m,micro,Arthropoda,Arachnida,Sarcoptiformes,Oppiidae,Dissorhina,Dissorhina ornata
s__Enchytraeus crypticus,eu,d,,h,meso,Annelida,Clitellata,Enchytraeida,Enchytraeidae,Enchytraeus,Enchytraeus crypticus
g__Hemienchytraeus,eu,d,,h,micro,Annelida,Clitellata,Enchytraeida,Enchytraeidae,Hemienchytraeus,NA
s__Hrabeiella periglandulata,eu,d,,m,meso,Annelida,Clitellata,incertae sedis,Hrabeiellidae,Hrabeiella,Hrabeiella periglandulata
s__Hypochthonius rufulus,eu,d,,m,micro,Arthropoda,Arachnida,Sarcoptiformes,Hypochthoniidae,Hypochthonius,Hypochthonius rufulus
g__Lumbricus,he,d,,m,macro,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Lumbricus,Lumbricus polyphemus
g__Marionina,he,d,,h,meso,Annelida,Clitellata,Enchytraeida,Enchytraeidae,Marionina,NA
g__Mesenchytraeus,eu,d,,h,meso,Annelida,Clitellata,Enchytraeida,Enchytraeidae,Mesenchytraeus,Mesenchytraeus pelicensis
f__Julidae,he,d,,m,macro,Arthropoda,Diplopoda,Julida,Julidae,NA,NA
s__Naiadacarus arboricola,ph,d,,m,micro,Arthropoda,Arachnida,Sarcoptiformes,Acaridae,Naiadacarus,Naiadacarus arboricola
g__Nothrus,ep,d,,m,meso,Arthropoda,Arachnida,Sarcoptiformes,Nothridae,Nothrus,Nothrus willmanni
o__Psocodea,ep,d,,m,meso,Arthropoda,Insecta,Psocodea,Pachytroctidae,Pachytroctes,Pachytroctes maculosus
g__Palaeacarus,he,d,,m,micro,Arthropoda,Arachnida,Sarcoptiformes,Palaeacaridae,Palaeacarus,Palaeacarus hystricinus
s__Proteroiulus fuscus,he,d,,h,meso,Arthropoda,Diplopoda,Julida,Blaniulidae,Proteroiulus,Proteroiulus fuscus
s__Steganacarus magnus,eu,d,,h,meso,Arthropoda,Arachnida,Sarcoptiformes,Phthiracaridae,Steganacarus,Steganacarus magnus
s__Achipteria coleoptrata,he,f,,m,micro,Arthropoda,Arachnida,Sarcoptiformes,Achipteriidae,Achipteria,Achipteria coleoptrata
s__Aglenchus agricola,he,f,,m,micro,Nematoda,Chromadorea,Rhabditida,Tylenchidae,Aglenchus,Aglenchus agricola
g__Aphelenchoides,he,f,,m,micro,Nematoda,Chromadorea,Rhabditida,Aphelenchoididae,Aphelenchoides,NA
s__Aphelenchus avenae,he,f,,m,micro,Nematoda,Chromadorea,Rhabditida,Aphelenchidae,Aphelenchus,Aphelenchus avenae
s__Atopochthonius artiodactylus,he,f,,m,micro,Arthropoda,Arachnida,Sarcoptiformes,Atopochthoniidae,Atopochthonius,Atopochthonius artiodactylus
f__Alycidae,he,f,,m,micro,Arthropoda,Arachnida,Sarcoptiformes,Alycidae,Bimichaelia,NA
g__Cephalenchus,he,f,,m,micro,Nematoda,Chromadorea,Rhabditida,Tylenchidae,Cephalenchus,Cephalenchus hexalineatus
g__Coslenchus,he,f,,m,micro,Nematoda,Chromadorea,Rhabditida,Tylenchidae,Coslenchus,NA
g__Cyrthermannia,ep,f,,m,micro,Arthropoda,Arachnida,Sarcoptiformes,Nanhermanniidae,Cyrthermannia,Cyrthermannia florens
s__Dicyrtomina saundersi,ep,f,,m,meso,Arthropoda,Collembola,Symphypleona,Dicyrtomidae,Dicyrtomina,Dicyrtomina saundersi
